"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","235",".focus() - focus on a DOM element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","816","cy.screenshot() - take a screenshot","Misc","2026-04-25","passed","2026-04-25","","Cypress.Screenshot","",""
"","563","cy.fixture() - load a fixture","Files","2026-04-25","passed","2026-04-25","","","",""
"","565","cy.request() - save response in the shared test context","Network Requests","2026-04-25","passed","2026-04-25","","","",""
"","216",".debug() - enable or disable debugging","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.Cookies","",""
"","199","assert - assert shape of an object","Assertions","2026-04-25","passed","2026-04-25","","Explicit Assertions","",""
"","160","cy.wrap() - wrap an object","Misc","2026-04-25","passed","2026-04-25","","","",""
"","585",".should() - make an assertion about the current subject","Assertions","2026-04-25","passed","2026-04-25","","Implicit Assertions","",""
"","416",".children() - get child DOM elements","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","510","cy.request() - verify response using BDD syntax","Network Requests","2026-04-25","passed","2026-04-25","","","",""
"","185","can throw any error","Assertions","2026-04-25","passed","2026-04-25","","Explicit Assertions","",""
"","158","cy.document() - get the document object","Window","2026-04-25","passed","2026-04-25","","","",""
"","210",".and() - chain multiple assertions together","Assertions","2026-04-25","passed","2026-04-25","","Implicit Assertions","",""
"","171",".first() - get first DOM element","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","160","Control what is printed to the Command Log","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.log","",""
"","587",".add() - create a custom command","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.Commands","",""
"","479",".submit() - submit a form","Actions","2026-04-25","passed","2026-04-25","","","",""
"","187",".its() - get properties on the current subject","Connectors","2026-04-25","passed","2026-04-25","","","",""
"","344","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-04-25","passed","2026-04-25","","","",""
"","884","cy.request() - make an XHR request","Network Requests","2026-04-25","passed","2026-04-25","","","",""
"","905",".check() - check a checkbox or radio element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","492","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-04-25","passed","2026-04-25","","","",""
"","234",".trigger() - trigger an event on a DOM element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","243","Get and set configuration options","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.config()","",""
"","173",".nextAll() - get all next sibling DOM elements","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","164",".filter() - get DOM elements that match the selector","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","364","can delete all completed tasks","example to-do app","2026-04-25","passed","2026-04-25","","with a checked task","",""
"","673","Cypress._ - call a lodash method","Utilities","2026-04-25","passed","2026-04-25","","","",""
"","472","cy.wait() - wait for a specific route","Waiting","2026-04-25","passed","2026-04-25","","","",""
"","735","best practices - selecting elements","Querying","2026-04-25","passed","2026-04-25","","","",""
"","181","expect - make an assertion about a specified subject","Assertions","2026-04-25","passed","2026-04-25","","Explicit Assertions","",""
"","241","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-04-25","passed","2026-04-25","","","",""
"","199",".find() - get descendant DOM elements of the selector","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","159",".closest() - get closest ancestor DOM element","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","316","cy.focused() - get the DOM element that has focus","Misc","2026-04-25","passed","2026-04-25","","","",""
"","306","cy.clearCookie() - clear a browser cookie","Cookies","2026-04-25","passed","2026-04-25","","","",""
"","1021","cy.exec() - execute a system command","Misc","2026-04-25","broken","2026-04-25","","","",""
"","220","pass your own callback function to should()","Assertions","2026-04-25","passed","2026-04-25","","Explicit Assertions","",""
"","593","cy.reload() - reload the page","Navigation","2026-04-25","passed","2026-04-25","","","",""
"","486","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-04-25","passed","2026-04-25","","","",""
"","401","cy.writeFile() - write to a file","Files","2026-04-25","passed","2026-04-25","","","",""
"","191",".invoke() - invoke a function on the current subject","Connectors","2026-04-25","passed","2026-04-25","","","",""
"","501","cy.visit() - visit a remote url","Navigation","2026-04-25","passed","2026-04-25","","","",""
"","269",".rightclick() - right click on a DOM element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","4994","cy.wait() - wait for a specific amount of time","Waiting","2026-04-25","passed","2026-04-25","","","",""
"","294","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-04-25","passed","2026-04-25","","","",""
"","188","finds element by class name regex","Assertions","2026-04-25","passed","2026-04-25","","Explicit Assertions","",""
"","175",".eq() - get a DOM element at a specific index","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","209",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","204","yields the original subject without return","Connectors","2026-04-25","passed","2026-04-25","",".then()","",""
"","182","yields the value yielded by the last Cypress command inside","Connectors","2026-04-25","passed","2026-04-25","",".then()","",""
"","383","can filter for uncompleted tasks","example to-do app","2026-04-25","passed","2026-04-25","","with a checked task","",""
"","188",".parents() - get parent DOM elements from DOM elements","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","218",".scrollIntoView() - scroll an element into view","Actions","2026-04-25","passed","2026-04-25","","","",""
"","189","cy.title() - get the title","Window","2026-04-25","passed","2026-04-25","","","",""
"","182","Get current version of Cypress being run","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.version","",""
"","160","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-04-25","passed","2026-04-25","","","",""
"","237","cy.getAllCookies() - get all browser cookies","Cookies","2026-04-25","passed","2026-04-25","","","",""
"","732","displays two todo items by default","example to-do app","2026-04-25","passed","2026-04-25","","","",""
"","238","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-04-25","passed","2026-04-25","","","",""
"","3837","cy.viewport() - set the viewport size and dimension","Viewport","2026-04-25","passed","2026-04-25","","","",""
"","896","cy.hash() - get the current URL hash","Location","2026-04-25","passed","2026-04-25","","","",""
"","258","Cypress.$ - call a jQuery method","Utilities","2026-04-25","passed","2026-04-25","","","",""
"","139","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-04-25","passed","2026-04-25","","Cypress.Screenshot","",""
"","179","cy.location() - get window.location","Location","2026-04-25","passed","2026-04-25","","","",""
"","180",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","754",".clear() - clears an input or textarea element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","161",".parent() - get parent DOM element from DOM elements","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","156","cy.contains() - query DOM elements with matching content","Querying","2026-04-25","passed","2026-04-25","","","",""
"","200",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","233","Get environment variables","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.env()","",""
"","689",".as() - alias a DOM element for later use","Aliasing","2026-04-25","passed","2026-04-25","","","",""
"","186",".next() - get next sibling DOM element","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","2292","cy.scrollTo() - scroll the window or element to a position","Actions","2026-04-25","passed","2026-04-25","","","",""
"","156",".prevAll() - get all previous sibling DOM elements","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","201","cy.setCookie() - set a browser cookie","Cookies","2026-04-25","passed","2026-04-25","","","",""
"","899",".as() - alias a route for later use","Aliasing","2026-04-25","passed","2026-04-25","","","",""
"","168","cy.fixture() or require - load a fixture","Files","2026-04-25","passed","2026-04-25","","","",""
"","858",".each() - iterate over an array of elements","Connectors","2026-04-25","passed","2026-04-25","","","",""
"","198","cy.readFile() - read file contents","Files","2026-04-25","passed","2026-04-25","","","",""
"","163",".spread() - spread an array as individual args to callback function","Connectors","2026-04-25","passed","2026-04-25","","","",""
"","177","Get underlying OS name","Cypress APIs","2026-04-25","passed","2026-04-25","","Cypress.platform","",""
"","64","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-04-25","passed","2026-04-25","","","",""
"","1149","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-04-25","passed","2026-04-25","","","",""
"","335","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-04-25","passed","2026-04-25","","","",""
"","166",".last() - get last DOM element","Traversal","2026-04-25","passed","2026-04-25","","","",""
"","339","can filter for completed tasks","example to-do app","2026-04-25","passed","2026-04-25","","with a checked task","",""
"","158","cy.root() - query the root DOM element","Querying","2026-04-25","passed","2026-04-25","","","",""
"","562","can add new todo items","example to-do app","2026-04-25","passed","2026-04-25","","","",""
"","554",".blur() - blur off a DOM element","Actions","2026-04-25","passed","2026-04-25","","","",""
"","1356","cy.go() - go back or forward in the browser's history","Navigation","2026-04-25","passed","2026-04-25","","","",""
